Model,MAE,MSE,RMSE,R2 Score,Accuracy (%)
GradientBoostingRegressor,9529.141440424042,156347782.31128556,12503.910680714476,0.9172669809984305,91.72669809984305
RandomForestRegressor,9382.08205128205,164408893.83504274,12822.203158390634,0.9130013618575018,91.30013618575018
XGBRegressor,9846.17938701923,171536343.16337726,13097.188368630012,0.909229799562235,90.9229799562235
Ridge,10558.83813185157,205609315.01257685,14339.083478820285,0.8911997400003586,89.11997400003587
LinearRegression,10570.78640113616,205754135.71726075,14344.13244909781,0.8911231066517091,89.11231066517091
Lasso,10570.889600044498,205756741.85457623,14344.223292133187,0.8911217275876453,89.11217275876453
DecisionTreeRegressor,12153.846153846154,290769230.7692308,17051.956801764154,0.8461365045370005,84.61365045370005
SVR,35990.911659692545,1889482532.1688945,43468.17838567536,0.0001611028557642058,0.01611028557642058
